pl_name,hostname,tran_flag,pl_radj,pl_radjerr1,pl_radjerr2,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_eqt,pl_eqterr1,pl_eqterr2,pl_insol,pl_insolerr1,pl_insolerr2,pl_bmassj,pl_bmassjerr1,pl_bmassjerr2,st_mass,st_masserr1,st_masserr2,st_met,st_meterr1,st_meterr2,st_teff,st_rad,pl_dens
K2-132 b,K2-132,1.0,1.3,0.07,-0.07,9.1751,0.0023,-0.0027,1586.0,10.0,-10.0,293.374,,,0.49,0.06,-0.06,1.08,0.08,-0.08,-0.01,0.08,-0.08,4840.0,3.85,0.277
K2-140 b,K2-140,1.0,1.21,0.09,-0.09,6.569188,3.1e-05,-3.1e-05,962.0,28.0,-28.0,204.0,10.0,-10.0,0.93,0.04,-0.04,0.96,0.06,-0.04,0.1,0.1,-0.1,5585.0,1.06,0.66
K2-22 b,K2-22,1.0,0.20519261,0.00892142,-0.00892142,0.381073,2.4e-05,-2.4e-05,2100.0,,,114.0,45.0,-45.0,1.4,,,0.595292,0.059529,-0.059529,0.032,0.12,-0.12,3879.0,0.58,
K2-237 b,K2-237,1.0,1.433,0.056,-0.049,2.18053332,5.4e-07,-5.4e-07,1759.0,49.0,-42.0,1860.0,210.0,-180.0,1.366,0.11,-0.092,1.256,0.055,-0.062,0.337,0.076,-0.076,6180.0,1.236,0.577
K2-260 b,K2-260,1.0,1.643,0.058,-0.073,2.62669762,6.6e-07,-6.6e-07,2090.0,35.0,-39.0,2520.03,,,1.72,0.34,-0.35,1.637,0.065,-0.069,0.334,0.052,-0.061,6860.0,1.755,0.48
K2-29 b,K2-29,1.0,1.19,0.02,-0.02,3.2588321,1.9e-06,-1.9e-06,1171.0,10.0,-10.0,293.0,30.0,-30.0,0.73,0.04,-0.04,0.94,0.02,-0.02,0.16,0.03,-0.03,5358.0,0.86,0.53
K2-295 b,K2-295,1.0,0.897,0.011,-0.005,4.024867,1.5e-05,-1.5e-05,852.0,14.0,-6.0,97.8595,,,0.335,0.062,-0.062,0.74,0.04,-0.04,0.14,0.12,-0.12,4444.0,0.7,0.612
K2-30 b,K2-30,1.0,1.039,0.05,-0.051,4.098503,1.1e-05,-1.1e-05,1092.0,19.0,-20.0,299.0,227.0,-227.0,0.579,0.028,-0.027,0.9,0.043,-0.042,-0.15,0.05,-0.05,5425.0,0.844,0.64
K2-31 b,K2-31,1.0,1.06,0.35,-0.35,1.25785,2e-06,-2e-06,1688.0,47.0,-47.0,1272.0,121.0,-121.0,1.774,0.079,-0.079,0.91,0.06,-0.06,0.08,0.05,-0.05,5280.0,0.78,0.032
K2-34 b,K2-34,1.0,1.22669495,0.05174422,-0.05263637,2.9956348,2e-07,-2e-07,1687.0,24.0,-25.0,963.566,,,1.698,0.061,-0.05,1.16,0.04,-0.04,0.01,0.03,-0.04,6168.0,1.42,0.94
K2-60 b,K2-60,1.0,0.683,0.037,-0.037,3.00265,4e-05,-4e-05,1400.0,50.0,-50.0,1212.0,265.0,-265.0,0.426,0.037,-0.037,0.97,0.07,-0.07,0.01,0.11,-0.11,5500.0,1.12,1.7
K2-77 b,K2-77,1.0,0.223,0.015,-0.011,8.2000844,8.6e-06,-7.3e-06,806.0,18.0,-18.0,58.0,7.0,-7.0,1.9,,,0.847,0.039,-0.038,0.13,0.078,-0.076,5160.0,0.792,
K2-97 b,K2-97,1.0,1.2,0.11,-0.11,8.407115,2.3e-05,-2.3e-05,1566.0,49.0,-50.0,114.149,,,0.549,0.059,-0.046,1.17,0.19,-0.13,0.328,0.079,-0.081,4673.0,4.14,0.392
KELT-10 b,KELT-10,1.0,1.399,0.069,-0.049,4.1662739,6.3e-06,-6.3e-06,1377.0,28.0,-23.0,600.0,50.0,-40.0,0.679,0.039,-0.038,1.112,0.055,-0.061,0.09,0.11,-0.1,5948.0,1.209,0.308
KELT-12 b,KELT-12,1.0,1.78,0.17,-0.16,5.031623,3.2e-05,-3.1e-05,1800.0,57.0,-57.0,1749.0,235.0,-213.0,0.95,0.14,-0.14,1.591,0.07,-0.093,0.19,0.084,-0.085,6279.0,2.37,0.209
KELT-14 b,KELT-14,1.0,1.743,0.047,-0.047,1.7100566,3.2e-06,-2.6e-06,1970.0,50.0,-50.0,826.113,,,1.284,0.032,-0.032,1.239,0.039,-0.039,0.32,0.09,-0.09,5720.0,1.52,0.322
KELT-15 b,KELT-15,1.0,1.74,0.2,-0.2,3.32944,1.6e-05,-1.6e-05,1642.0,45.0,-25.0,1612.7618,,,1.31,0.43,-0.43,2.06,0.75,-0.75,0.05,,,6003.0,1.78,0.36
